店名	分類	介紹	地址	地圖連結	電話	價位	優惠資訊	標籤	照片1	照片2	照片3	照片4	照片5	照片6	照片7	照片8	照片9	照片10	店家屬性	營業時間	經緯度	foodpanda訂餐連結
元禾食堂 Flourish	素食	100% Vegan有機餐廳，日式蔬食定食風格，有機糙米野蔬全食物料理	台北市大安區敦化南路一段233巷32號	https://maps.google.com/?q=台北市大安區敦化南路一段233巷32號	(02)2771-6115	$$		純素餐廳、日式蔬食、有機食材							附近店家	11:30-21:30	25.0382,121.5499
誠食健康蔬食	素食	秤重式自助素食餐廳，天然食材、少油少鹽少糖，健康養生選擇	台北市大安區忠孝東路四段216巷27弄6號	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷27弄6號	(02)2721-2388	$		素食自助餐、健康養生、秤重計費							附近店家	11:00-20:00	25.0413,121.5499
1976道地香港美食	中餐	台北第一家港式廣東粥品店，道地香港早茶文化，24小時不間斷	台北市大安區敦化南路一段233巷11號	https://maps.google.com/?q=台北市大安區敦化南路一段233巷11號	(02)2777-1976	$		港式廣東粥、24小時、港點							附近店家	24小時營業	25.0383,121.5499
荷李活茶街	中餐	SOGO百貨內港式茶餐廳，復古前衛時尚環境，經典港點粵菜	台北市大安區忠孝東路四段45號2樓	https://maps.google.com/?q=台北市大安區忠孝東路四段45號2樓	(02)2778-0369	$$		港式飲茶、粵菜、SOGO百貨							附近店家	週一~四 11:00-21:30；週五~日 11:00-22:00	25.0415,121.5469
PS Tapas 西班牙餐酒館	異國料理	來自瓦倫西亞主廚團隊，道地西班牙料理，海鮮燉飯、桑格麗亞	台北市大安區安和路一段21巷19號	https://maps.google.com/?q=台北市大安區安和路一段21巷19號	(02)2740-9090	$$		西班牙料理、餐酒館、約會聚餐							附近店家	12:00-14:30、18:00-23:00	25.0378,121.5472
BORNGA本家燒肉	燒肉	韓國廚神白種元的韓式燒肉品牌台灣首店，正宗韓式烤肉	台北市大安區市民大道四段102號	https://maps.google.com/?q=台北市大安區市民大道四段102號	(02)2752-5358	$$$		韓式燒肉、白種元、聚餐推薦							附近店家	週一~四 12:00-22:30；週五~日 12:00-23:00	25.0430,121.5490
Sarabeth's（敦化SOGO店）	早午餐	紐約早餐女王品牌，法式吐司與班尼迪克蛋馳名，精緻美式早午餐	台北市大安區敦化南路一段246號B1	https://maps.google.com/?q=台北市大安區敦化南路一段246號B1	(02)2752-6998	$$$		紐約早午餐、法式吐司、班尼迪克蛋							附近店家	09:30-21:00	25.0376,121.5499
At.First早寓	早午餐	東區人氣早午餐，玻璃屋落地窗網美空間，義式料理早午餐一次滿足	台北市大安區延吉街70巷5弄6號	https://maps.google.com/?q=台北市大安區延吉街70巷5弄6號	(02)8772-6867	$$		早午餐、玻璃屋、義式料理							附近店家	週一~五 11:00-21:00；週六日 10:00-21:00	25.0404,121.5497
COFFEE LAW 敦南概念店	飲料	東區平價質感咖啡廳，西西里咖啡超人氣，無低消不限時	台北市大安區忠孝東路四段181巷40弄15號	https://maps.google.com/?q=台北市大安區忠孝東路四段181巷40弄15號	(02)2775-3800	$		咖啡、不限時、平價飲品							附近店家	08:00-18:00	25.0416,121.5492
咖啡弄 Coffee Alley（敦化店）	飲料	台灣本土咖啡廳連鎖品牌，咖啡、甜點、輕食齊全，質感舒適空間	台北市大安區敦化南路一段187巷42號2樓	https://maps.google.com/?q=台北市大安區敦化南路一段187巷42號2樓	(02)2711-1910	$		咖啡廳、甜點輕食、舒適空間							附近店家	11:30-20:00	25.0395,121.5497
VAST Cali Eatery	健康餐	南加州風格有機健康餐飲，古巴三明治、手作漢堡、沙拉、康普茶	台北市大安區忠孝東路四段181巷35弄21號	https://maps.google.com/?q=台北市大安區忠孝東路四段181巷35弄21號	(02)8771-7617	$$		健康餐、有機食材、南加州風格							附近店家	11:30-20:30	25.0416,121.5492
Just in Salad 就是沙拉	健康餐	專注低GI、低卡、低碳健康沙拉輕食，外帶方便快速	台北市大安區忠孝東路四段216巷附近	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷		$		沙拉、健康輕食、低卡飲食							附近店家	11:00-21:00	25.0413,121.5499
今頂小吃	便當	東區巷弄精緻便當，江浙風味家常菜，主食配菜豐富	台北市大安區忠孝東路四段77巷28號	https://maps.google.com/?q=台北市大安區忠孝東路四段77巷28號	(02)2721-1287	$		便當、江浙菜、家常料理							附近店家	11:30-20:30	25.0412,121.5473
龍門美景紅油炒手	麵食	東區名店招牌紅油抄手香辣迷人，平價傳統川味小吃	台北市大安區忠孝東路四段97號B1（頂好名店城）	https://maps.google.com/?q=台北市大安區忠孝東路四段97號B1	(02)2781-9004	$		紅油抄手、川味麵食、平價小吃							附近店家	10:00-18:00（週日週一休）	25.0413,121.5472
粵香園	中餐	道地廣東菜，鄰近敦化南路，傳統粵式家常料理，週末排隊名店	台北市大安區敦化南路一段190巷47號	https://maps.google.com/?q=台北市大安區敦化南路一段190巷47號	(02)2771-9257	$$		廣東菜、粵式料理、家常口味							附近店家	週二~日 11:00-14:00、17:00-21:00（週一休）	25.0396,121.5501
Ombré 敦南店	早午餐	歐風質感異國料理，環境典雅舒適，早午餐、餐酒館雙重體驗	台北市大安區敦化南路一段161巷70號	https://maps.google.com/?q=台北市大安區敦化南路一段161巷70號	(02)2707-8884	$$		歐風料理、餐酒館、質感空間							附近店家	11:30-22:00	25.0402,121.5495
一宗罪 Ramen Wagyu	麵食	和牛拉麵專賣，日式拉麵融入高級和牛食材，東區隱藏版美食	台北市大安區忠孝東路四段170巷17弄14號	https://maps.google.com/?q=台北市大安區忠孝東路四段170巷17弄14號		$$		和牛拉麵、日式拉麵、隱藏美食							附近店家	12:00-15:00、16:30-20:30	25.0415,121.5489
COCA 泰式海鮮火鍋	火鍋	泰式火鍋連鎖名店，海鮮新鮮豐富，泰式酸辣湯底獨特風味	台北市大安區忠孝東路四段216巷8弄2號	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷8弄2號	(02)2731-7318	$$		泰式火鍋、海鮮、東區216巷							附近店家	11:00-22:00	25.0413,121.5498
老漿家中式早餐	早午餐	24小時營業的中式早餐店，豆漿、燒餅油條、包子饅頭，傳統台式早餐	台北市大安區延吉街110號	https://maps.google.com/?q=台北市大安區延吉街110號	(02)2779-0602	$		中式早餐、豆漿燒餅、24小時							附近店家	24小時營業	25.0409,121.5501
娘子韓食	異國料理	韓國正統烤肉，八色豬五花聞名，韓式小菜配菜豐富	台北市松山區市民大道四段173號	https://maps.google.com/?q=台北市松山區市民大道四段173號	(02)2578-8838	$$		韓式烤肉、八色豬五花、韓式料理							附近店家	11:30-22:00	25.0430,121.5500
五麥壽喜燒鍋物	火鍋	壽喜燒鍋物專門店，食材新鮮，湯頭甜美	台北市大安區延吉街62巷1號	https://maps.google.com/?q=台北市大安區延吉街62巷1號	(02)8772-2551	$$		壽喜燒、鍋物、日式火鍋							附近店家	11:00-23:00	25.0405,121.5495
小滿鍋物	火鍋	精緻鍋物料理，嚴選食材新鮮湯底，東區隱藏版火鍋名店	台北市大安區敦化南路一段160巷12號	https://maps.google.com/?q=台北市大安區敦化南路一段160巷12號	(02)8771-3936	$$		鍋物、精緻火鍋、隱藏名店							附近店家	12:00-14:30、17:40-23:00（週一休）	25.0401,121.5491
億頓排骨	便當	東區超人氣排隊美食，招牌雞排飯香酥多汁，有湯飲料喝到飽	台北市大安區仁愛路四段91巷19號	https://maps.google.com/?q=台北市大安區仁愛路四段91巷19號		$		排骨飯、雞排便當、上班族首選							附近店家	11:00-20:30	25.0390,121.5490
米樂拾穗雞腿便當	便當	超大份量雞腿便當，藜麥飯營養滿分，外帶外送方便	台北市大安區復興南路一段107巷32號	https://maps.google.com/?q=台北市大安區復興南路一段107巷32號	(02)2711-2838	$		雞腿便當、藜麥飯、健康便當							附近店家	11:00-20:00	25.0412,121.5450
神旺潮品集（忠孝店）	中餐	潮州料理名店，精緻潮式菜系，適合商務聚餐與家庭宴客	台北市大安區忠孝東路四段166號2樓	https://maps.google.com/?q=台北市大安區忠孝東路四段166號2樓		$$		潮州料理、精緻中餐、商務聚餐							附近店家	11:00-14:30、17:30-21:30	25.0416,121.5488
好米亞餐酒館	異國料理	台北東區精選食材餐酒館，義式與創意料理結合，約會聚餐推薦	台北市大安區忠孝東路四段181巷40弄附近	https://maps.google.com/?q=台北市大安區忠孝東路四段181巷		$$$		餐酒館、創意料理、東區約會							附近店家	12:00-14:30、18:00-22:00	25.0416,121.5492
弍佃関東煮	中餐	日式關東煮風格小吃，食材豐富湯頭鮮美，東區巷弄中的暖心料理	台北市大安區忠孝東路四段205巷29弄7號	https://maps.google.com/?q=台北市大安區忠孝東路四段205巷29弄7號		$		關東煮、日式小吃、巷弄美食							附近店家	12:00-22:00	25.0413,121.5498
樂己 UG茶飲	飲料	清新茉莉花香手搖飲，年輕時尚品牌，東區新興飲品店	台北市大安區忠孝東路四段216巷附近	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷		$		手搖飲、茉莉花茶、東區飲品							附近店家	11:00-22:00	25.0413,121.5499
1976道地香港美食	中餐	道地廣東粥，24小時供應，深夜宵夜首選	台北市大安區延吉街136號	https://maps.google.com/?q=台北市大安區延吉街136號	(02)2731-3579	$		廣東粥、24小時、宵夜							附近店家	24小時營業	25.0407,121.5499
Caldo卡朵輕食廚房	早午餐	義式輕食廚房，手工義大利麵、嫩煎雞排，環境舒適安靜，適合工作用餐	台北市大安區忠孝東路四段216巷附近	https://maps.google.com/?q=台北市大安區忠孝東路四段216巷		$$		義式輕食、早午餐、安靜環境							附近店家	11:00-21:00	25.0413,121.5499
鬍鬚張魯肉飯（忠孝敦化店）	便當	台灣國民美食鬍鬚張，招牌魯肉飯香Q入味，快速方便平價	台北市大安區忠孝東路四段181巷附近	https://maps.google.com/?q=台北市大安區忠孝東路四段181巷	(02)2773-5158	$		魯肉飯、台灣小吃、快速平價							附近店家	09:00-22:00	25.0416,121.5492
